iter	Passed	Remaining
0	1339	668654
1	2619	652321
2	3650	604729
3	4843	600614
4	5765	570800
5	6648	547413
6	7591	534686
7	8336	512676
8	9388	512174
9	10322	505778
10	11258	500495
11	12067	490734
12	13120	491498
13	14031	487098
14	15032	486043
15	16085	486590
16	17136	486887
17	17942	480455
18	18702	473478
19	19774	474587
20	20826	475053
21	21705	471607
22	22574	468171
23	23583	467738
24	24451	464572
25	25454	464057
26	26315	461000
27	27301	460227
28	28259	458981
29	29227	457905
30	30230	457355
31	31184	456075
32	32172	455289
33	33140	454221
34	34186	454190
35	35148	453023
36	36078	451463
37	36915	448815
38	37804	446873
39	38895	447301
40	39937	447109
41	40774	444640
42	41501	441077
43	42348	438884
44	43336	438182
45	44318	437404
46	45382	437407
47	46358	436541
48	47100	433518
49	47826	430436
50	48488	426889
51	49168	423608
52	49837	420324
53	50519	417249
54	51316	415201
55	51988	412194
56	52823	410539
57	53473	407503
58	54140	404679
59	54916	402718
60	55674	400673
61	56811	401346
62	57516	398966
63	58181	396363
64	58839	393773
65	59559	391646
66	60253	389397
67	61033	387742
68	61760	385777
69	63008	387053
70	63666	384687
71	64341	382474
72	65084	380697
73	65771	378631
74	66578	377280
75	67260	375243
76	67927	373159
77	68689	371628
78	69371	369686
79	70034	367682
80	70719	365820
81	71393	363932
82	72056	362016
83	72715	360114
84	73381	358273
85	74099	356711
86	74860	355370
87	75562	353770
88	76229	352026
89	76878	350226
90	77613	348835
91	78291	347204
92	78946	345495
93	79594	343782
94	80360	342590
95	81028	340997
96	81680	339351
97	82335	337742
98	82994	336169
99	83646	334587
100	84573	334108
101	85221	332530
102	85925	331188
103	86891	330855
104	88030	331160
105	89655	333247
106	90346	331833
107	91003	330310
108	91974	329925
109	92931	329484
110	93689	328336
111	95053	329293
112	95871	328338
113	96575	327001
114	97246	325564
115	98163	324956
116	99075	324323
117	100097	324045
118	100854	322902
119	101500	321419
120	102147	319949
121	102790	318480
122	103691	317819
123	104356	316434
124	105279	315838
125	105931	314431
126	106591	313060
127	107307	311862
128	107959	310489
129	108628	309174
130	109271	307795
131	109915	306430
132	110613	305227
133	111248	303859
134	111900	302545
135	112549	301236
136	113216	299981
